Fold,N_val,N_hospitals,Acc,AUC,DI_RACE,V_DI_RACE,SPD_RACE,V_SPD_RACE,EOPP_RACE,V_EOPP_RACE,EOD_RACE,V_EOD_RACE,TI_RACE,V_TI_RACE,PP_RACE,V_PP_RACE,CAL_RACE,V_CAL_RACE,DI_SEX,V_DI_SEX,SPD_SEX,V_SPD_SEX,EOPP_SEX,V_EOPP_SEX,EOD_SEX,V_EOD_SEX,TI_SEX,V_TI_SEX,PP_SEX,V_PP_SEX,CAL_SEX,V_CAL_SEX,DI_ETHNICITY,V_DI_ETHNICITY,SPD_ETHNICITY,V_SPD_ETHNICITY,EOPP_ETHNICITY,V_EOPP_ETHNICITY,EOD_ETHNICITY,V_EOD_ETHNICITY,TI_ETHNICITY,V_TI_ETHNICITY,PP_ETHNICITY,V_PP_ETHNICITY,CAL_ETHNICITY,V_CAL_ETHNICITY,DI_AGE_GROUP,V_DI_AGE_GROUP,SPD_AGE_GROUP,V_SPD_AGE_GROUP,EOPP_AGE_GROUP,V_EOPP_AGE_GROUP,EOD_AGE_GROUP,V_EOD_AGE_GROUP,TI_AGE_GROUP,V_TI_AGE_GROUP,PP_AGE_GROUP,V_PP_AGE_GROUP,CAL_AGE_GROUP,V_CAL_AGE_GROUP
1,46255,21,0.8262458112636472,0.9244440896177396,0.7195383390322732,0,0.17639125640745074,0,0.20719844357976658,0,0.20719844357976658,0,0.05587368174048796,1,0.3145580589254766,0,0.6052614422454426,0,0.7605614916725988,0,0.14989228571586155,0,0.03534295815645894,1,0.11495291138097127,0,0.0097750678865232,1,0.0037964669993335587,1,0.19014282847301678,0,0.8264259464279816,1,0.09762957064307365,1,0.0073602109947561445,1,0.05654589831110973,1,0.007260825737951948,1,0.023377489081409464,1,0.2011034012375772,0,0.5797439607803361,0,0.29077820615020367,0,0.053038464310842914,1,0.17231701882370337,0,0.00959963056727145,1,0.09291212249207448,1,0.22622159966070532,0
2,46257,21,0.8372354454460946,0.9258436118946214,0.5556640176255004,0,0.2692974840061856,0,0.07426489255260371,1,0.11574539363484088,0,0.01966839490855902,1,0.11309523809523814,0,0.6956909771550722,0,0.7801371796248243,0,0.13310593621547856,0,0.04163210419530661,1,0.10201448279282666,0,0.005769069046544353,1,0.011663546370071942,1,0.1429602431423318,0,0.841982585495998,1,0.08530041451835485,1,0.03118764057996859,1,0.058152354641758636,1,0.0021455447508901687,1,0.008933654220718568,1,0.12764692838424796,0,0.5958519766868648,0,0.27267009633858014,0,0.06794688013358219,1,0.1540181272750727,0,0.006488363674843123,1,0.0597246792183771,1,0.13689760560594633,0
3,46258,22,0.8224739504518137,0.9078675812416303,0.7319299002971372,0,0.18229911155887318,0,0.10910228433378932,0,0.2413558861490388,0,0.053310026909214575,1,0.11622762541585019,0,0.41929273425227553,0,0.8470863536229886,1,0.08826330623947964,1,0.0279866053134048,1,0.07347525952930128,1,0.006469416924236457,1,0.013322199375443322,1,0.11265073332350128,0,0.9973983295285004,1,0.0013689140997403815,1,0.006479825521188087,1,0.02715149592051294,1,0.015605580281878223,1,0.029983555787618132,1,0.12002674505119681,0,0.6738775739682439,0,0.20650628136845262,0,0.05570348130525571,1,0.09253558655144811,1,0.0011501461822391451,1,0.07147213195765134,1,0.11993608406680023,0
4,46255,22,0.8113933628796887,0.9054821185371515,0.637599981012508,0,0.2279771858576206,0,0.1445356223896893,0,0.21854349981445928,0,0.03370770614582885,1,0.18664946970248553,0,0.4423197314864983,0,0.7925013647431856,0,0.11468513757848448,0,0.05663244883147289,1,0.06438211342791825,1,0.0007038806626686323,1,0.020668006175203812,1,0.1988833527244508,0,0.7578391601481999,0,0.12367024634395568,0,0.04385422527526028,1,0.09150036620172622,1,0.011833986628981538,1,0.021398693704438254,1,0.1979865897385511,0,0.5894225484675222,0,0.25696474795083607,0,0.08083824450707289,1,0.101315296831509,0,0.0006465361702047284,1,0.13946737149943633,0,0.25305148606889705,0
5,46255,23,0.835563722840774,0.9276268217078993,0.5775941466350123,0,0.3148843634175363,0,0.03177983125753314,1,0.4927754941156597,0,0.11123615722878336,0,0.41043409351061017,0,0.5580240208673662,0,0.7721566515497912,0,0.13566418063784802,0,0.03458473779991389,1,0.06630992424136167,1,0.0011772263125172794,1,0.038063222347356596,1,0.18969521468201517,0,0.9649294221297928,1,0.018268862403524988,1,0.026469793257777208,1,0.09252134477700713,1,0.021051169188270047,1,0.12176578465803478,0,0.3493291173117431,0,0.5191392623327556,0,0.32933963341123923,0,0.09704561770047371,1,0.13530436792373093,0,0.0005219535158865335,1,0.1497328356130061,0,0.2580999153408313,0
6,46259,21,0.8389502583281091,0.9290806248772836,0.6650573216347933,0,0.15172247427561014,0,0.2692619626926196,0,0.2692619626926196,0,0.0783267634280845,1,0.03248338672553619,1,0.8347888642225063,0,0.5688636685181754,0,0.2167051793184775,0,0.09859240469501496,1,0.09859240469501496,1,0.004404069254773574,1,0.0024395307108977526,1,0.16129988167656673,0,0.6479827682665932,0,0.14550937129684127,0,0.08270347608837525,1,0.08270347608837525,1,0.004812875314927162,1,0.005746707231377046,1,0.1477344034688325,0,0.44126717375362323,0,0.31809144303146636,0,0.1511726069995154,0,0.1511726069995154,0,0.00461850439825949,1,0.044816481140721565,1,0.14449948472119756,0
7,46259,21,0.8375018915238116,0.9196583323625258,0.7237163814180929,0,0.13814180929095354,0,0.23809523809523814,0,0.23809523809523814,0,0.02158545047421697,1,0.1318040435458787,0,0.43230955223207496,0,0.7488117446489458,0,0.12404678153775628,0,0.03389310499389475,1,0.06614598246171152,1,0.009944241423804845,1,0.0015925922609810739,1,0.08006469394496607,0,0.83802132610028,1,0.07149270479824854,1,0.05002494288440962,1,0.05002494288440962,1,0.00794570888590862,1,0.0784785907501484,1,0.18884570652220178,0,0.4966236081811131,0,0.2868756945342906,0,0.11494789101644753,0,0.11494789101644753,0,0.00988069358053699,1,0.08150774317511111,1,0.10213704436183724,0
8,46256,22,0.8275899342787962,0.9153276934144913,0.15680096618055187,0,0.5025711890688799,0,0.31047197640117985,0,0.31047197640117985,0,0.054095648968379706,1,0.20041337842916196,0,0.793318557886559,0,0.9266064528189151,1,0.03739856729123747,1,0.013835676252306306,1,0.020264468872387836,1,0.0026458207520453775,1,0.001601548592952251,1,0.0970737755157185,0,0.796839329261969,0,0.1166327172054592,0,0.062139650766766974,1,0.11637774675619544,0,0.01286317406571559,1,0.05504189036882401,1,0.14729842162223383,0,0.5511621617321858,0,0.2766739022442915,0,0.10477924190598475,0,0.12393464179222331,0,0.0030857509913726905,1,0.05608573135123551,1,0.1156678055027757,0
9,46255,23,0.8294887039239002,0.9185072603353968,0.7957990095486784,0,0.11822162605076514,0,0.1528571428571428,0,0.22413793103448276,0,0.02272214597748857,1,0.1212335277042822,0,0.5263332946438626,0,0.8199734729297427,1,0.09563164659976509,1,0.04791851262899738,1,0.06796203333733208,1,0.004831036798294816,1,0.013691134705758778,1,0.1528757609001733,0,0.7590106068469601,0,0.12087349476022136,0,0.09973971319516617,1,0.09973971319516617,1,0.001521501770503711,1,0.048292089920238146,1,0.14605271778910878,0,0.647853668694334,0,0.20683681640624074,0,0.07812347697344502,1,0.07826713003329192,1,0.0017884851911268984,1,0.08270205485583448,1,0.15396207483523794,0
10,46258,22,0.8419516624151498,0.9275551979224301,0.7715215728602155,0,0.12211882909974636,0,0.20898673100120624,0,0.20898673100120624,0,0.016483938044748667,1,0.19391518131530427,0,0.18284803906064565,0,0.8006253038623105,1,0.10894946976719366,0,0.018540446877726935,1,0.05282337433473669,1,0.006448515244055687,1,0.020343060116478462,1,0.1001084790300516,0,0.7120067239435509,0,0.14211706154433695,0,0.005195806519179724,1,0.04303106828221484,1,0.007369780084827637,1,0.06447916086024896,1,0.17926074030842631,0,0.5396506608922738,0,0.2910685093003441,0,0.08236976417332587,1,0.11761881365475078,0,0.005647380903984721,1,0.09404759672390461,1,0.14468889867270895,0
11,46259,21,0.8279253766834562,0.9180527411392376,0.5614658025372311,0,0.21955850118227793,0,0.09547306438117287,1,0.09547306438117287,1,0.03307766941341316,1,0.1943754351541237,0,0.4425913335192851,0,0.8133376339159216,1,0.10115327441723704,0,0.045877356499371746,1,0.062062921217378914,1,0.0007260900897234912,1,0.004225592028425096,1,0.18818376739182574,0,0.7676798984467489,0,0.1166047534754035,0,0.028232928873508922,1,0.08206365662145859,1,0.010384998561715292,1,0.020869176992144967,1,0.2001657884612409,0,0.6296521743546282,0,0.22410596537439792,0,0.05613520359656354,1,0.1151915599843806,0,0.0015385983209579707,1,0.0630596658617476,1,0.20314831567763264,0
12,46255,23,0.856166900875581,0.9301885086065607,0.5430548452191576,0,0.21587437971507872,0,0.12416814683244526,0,0.12416814683244526,0,0.03473881460951262,1,0.08263471158108027,1,0.3603651690963411,0,0.5960223904272463,0,0.19553125399814847,0,0.06779924338396559,1,0.08417351218955947,1,0.011603662823096057,1,0.011876076362090426,1,0.0409831982024671,1,0.7007417716846218,0,0.1176196255518755,0,0.035672123907137476,1,0.05708514813527113,1,0.015365986362301472,1,0.022533042450351037,1,0.054070834341017004,0,0.378742447809446,0,0.3647200952087065,0,0.13981989344775403,0,0.13981989344775403,0,0.012294644958931546,1,0.08556026588371135,1,0.09139125195044379,0
13,46255,22,0.8492487298670414,0.9300737424534675,0.6645822013506171,0,0.15044084112312217,0,0.1003861003861003,0,0.1003861003861003,0,0.03028277074317224,1,0.158678102926337,0,0.6601194468193828,0,0.8112319791416406,1,0.08303972752974248,1,0.05061126968848462,1,0.05061126968848462,1,0.00012773313728041413,1,0.012132902121880895,1,0.07782979956016933,0,0.8570673559869894,1,0.05822377340410323,1,0.005805334548625529,1,0.015627886207001687,1,0.009322069609371694,1,0.018649771359629974,1,0.08004216393287678,0,0.5145520746316914,0,0.2560054302222494,0,0.10123650288950858,0,0.11830536950139675,0,0.012492832992477339,1,0.008541771748526994,1,0.07944991812758495,0
14,46255,23,0.8360177278132094,0.9178449439923823,0.7925088492752473,0,0.1072346378671229,0,0.1790642518326866,0,0.1790642518326866,0,0.028278967064157723,1,0.09236132263850805,1,0.5986942165367042,0,0.8050426842807856,1,0.09981647342251748,1,0.04064757791224871,1,0.05627749471942728,1,0.00655329255162812,1,0.00307242543552666,1,0.11127134966228902,0,0.9455617844323375,1,0.02475829225031717,1,0.09259334089291738,1,0.09259334089291738,1,0.040053540588885314,1,0.0009042451533882723,1,0.109120352750516,0,0.5431291450533449,0,0.28010197991237534,0,0.16405280479143092,0,0.16405280479143092,0,0.011669801727633197,1,0.0776340173999095,1,0.07406914080185034,0
15,46255,21,0.8149173062371635,0.9139902596263562,0.6902840426728856,0,0.16984423466325627,0,0.1779279279279279,0,0.18022822856899692,0,0.036109268110044224,1,0.19646567324233144,0,0.5867738372266443,0,0.7539532491641764,0,0.13846275986284556,0,0.04162771619223837,1,0.05887124389642215,1,0.003152235582445234,1,0.06211266824856898,1,0.2476478557342111,0,0.803661691308861,1,0.09874599440163284,1,0.03514480795222652,1,0.03514480795222652,1,0.0005445310527089214,1,0.09354253156557968,1,0.2936136904430656,0,0.5302231169596386,0,0.3010028272156695,0,0.08901413156450111,1,0.1301102932456894,0,0.009422705653233734,1,0.1597074896967946,0,0.30077327760242734,0
16,46259,21,0.8260230441643788,0.9128553663832574,0.6528608208623957,0,0.2477565915619192,0,0.2781609195402299,0,0.33207797961896324,0,0.02746354362762149,1,0.17105263157894746,0,0.4170942250253122,0,0.8702764423328763,1,0.07411343833568779,1,0.03381887593367905,1,0.05363009688892176,1,0.0027394686938048696,1,0.005776955752919699,1,0.1069842572150419,0,0.6987955258437443,0,0.1640972687269165,0,0.11118874416473079,0,0.11118874416473079,0,0.009007582499757236,1,0.006455228527543655,1,0.11223635780291924,0,0.6578732038534405,0,0.21592184176309603,0,0.03341739159868662,1,0.08511387580300137,1,0.005746345571899444,1,0.0947932457627716,1,0.17275241978024908,0
17,46258,22,0.8455618487612954,0.9281515483452967,0.646178511721117,0,0.17844427852728212,0,0.12889167271048985,0,0.12889167271048985,0,0.012413519753322763,1,0.10796337882190354,0,0.5739699587007699,0,0.775988018895785,0,0.11121051894728934,0,0.020005278733685072,1,0.04198025606720611,1,0.0057866434698466,1,0.009647105326841654,1,0.11840805755647488,0,0.7331210634932038,0,0.12331663496866208,0,0.053289538578876194,1,0.053289538578876194,1,0.005586864144163324,1,0.009589727756420308,1,0.13192207604596962,0,0.6020385153489418,0,0.2364552385022457,0,0.07276034483002003,1,0.09172937465627279,1,0.005262085413620152,1,0.027822579352857812,1,0.1513417206413561,0
18,46255,23,0.8394551940330776,0.9232382847437028,0.5349966264180812,0,0.21483892222627066,0,0.1666868436776313,0,0.1666868436776313,0,0.021294845419734948,1,0.09119707713496394,1,0.4290018275450437,0,0.7305394211973667,0,0.14043878412039634,0,0.04735965070183812,1,0.08393055163492495,1,0.00663555464001149,1,0.00822380358306074,1,0.09146847313683126,0,0.996475097892419,1,0.0015224765794285555,1,0.06057601110707578,1,0.06057601110707578,1,0.01148634725134634,1,0.0023110665473482506,1,0.118874012937634,0,0.4589838865284886,0,0.33882292043784457,0,0.1319329745450778,0,0.13922914661053037,0,0.004628085123972253,1,0.09565882101440204,1,0.11417964615906961,0
19,46255,24,0.8394551940330776,0.9242389309227494,0.5817106254158837,0,0.17425262426815968,0,0.24644456666928577,0,0.24644456666928577,0,0.09082590613841751,1,0.07671782715523279,1,0.7366288045822391,0,0.6682372418355793,0,0.14321287625222345,0,0.10396698584855268,0,0.10396698584855268,0,0.01073152782676716,1,0.019753143957930375,1,0.13555128981732625,0,0.8992815560739909,1,0.035393770258917656,1,0.021575503416762287,1,0.021575503416762287,1,0.003329424640530612,1,0.008469003038748646,1,0.1309731709181211,0,0.4081964184028981,0,0.2982333426463615,0,0.1952467611949421,0,0.1952467611949421,0,0.008661606420695064,1,0.07071943879972087,1,0.1628479268315492,0
20,46255,23,0.8498540698302887,0.9317285406425097,0.18259112133249703,0,0.3730597964376591,0,0.611574644417068,0,0.611574644417068,0,0.07209688213279213,1,0.19579761655864525,0,0.6234699017454843,0,0.5779697850308367,0,0.24114219938186005,0,0.09928300999456496,1,0.12441907611139426,0,0.006959629600806358,1,0.007024990124455011,1,0.0741162075901618,0,0.8800112030912483,1,0.05206483707770315,1,0.06627473832529507,1,0.06627473832529507,1,0.003120068727378869,1,0.06372355559318554,1,0.13521956025703208,0,0.44936695866644566,0,0.35819754562708755,0,0.13956531240414616,0,0.15620329539526437,0,0.002564311065793398,1,0.07471300413713078,1,0.07383391738179645,0
